Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,,00004.613280,A1_77,0.026
Description,,00004.628640,A1_81,0.027
,,00004.638480,A1_72,0.03
Legacy Axion File,,00004.707680,A1_71,0.064
   Experiment Created Time,4/26/2012 5:37 PM,00004.747920,A1_68,0.033
   Sampling Frequency,12.5 kHz,00004.759920,A1_71,0.051
   Voltage Scale,6.5E-08 V/sample,00004.817360,A1_72,0.027
   Experiment Start Time,4/26/2012 5:37 PM,00005.017200,A1_68,0.046
,,00005.095120,A1_24,0.053
AxIS Playback,,00005.200560,A1_72,0.031
   AxIS Version,2.3.1.11,00005.221200,A1_76,0.034
   File Name,Muse_Neural_Sample_Data(000).raw,00005.228480,A1_75,0.023
   Requested File Section,0s to 15m5s,00005.364400,A1_72,0.024
   Actual File Section Run,0s to 15m5s,00005.530640,A1_72,0.029
   Recording Offset from File Start,0s,00005.703200,A1_72,0.029
,,00005.781680,A1_83,0.023
AxIS Playback,,00005.886000,A1_72,0.027
   AxIS Version,2.0.4.21,00005.944560,A1_67,0.027
   File Name,Muse_Neural_Sample(000).raw,00006.064800,A1_76,0.031
   Plate Type,Artichoke View 1,00006.065040,A1_86,0.026
   Requested File Section,0s to 2m1s,00006.072560,A1_75,0.025
   Actual File Section Run,0s to 2m1s,00006.106080,A1_72,0.032
   Recording Offset from File Start,5s,00006.143760,A1_77,0.022
,,00006.267440,A1_72,0.028
Spike Detector Settings,,00006.446400,A1_83,0.026
   Method,Adaptive Threshold Crossing,00006.477600,A1_77,0.023
   Threshold,6,00006.617920,A1_72,0.024
   Threshold Status,Variable,00006.710080,A1_72,0.028
   Threshold Crossing Only,True,00006.770880,A1_68,0.042
   Pre-Spike Duration,0.84 ms,00006.804960,A1_24,0.05
   Post-Spike Duration,2.16 ms,00006.815200,A1_76,0.029
   Coincident Event Filter,Default (Well),00006.815360,A1_86,0.026
   Coincidence Occurrence Threshold,4 Electrodes,00006.823120,A1_75,0.026
   Coincidence Event Window,80 µs,00006.914800,A1_72,0.027
   Allow Sample Overlap,false,00007.012640,A1_81,0.027
   Spike Count Interval,1 s,00007.022160,A1_72,0.028
,,00007.025120,A1_12,0.029
,,00007.046960,A1_83,0.018
,,00007.259120,A1_76,0.032
,,00007.329600,A1_78,0.034
,,00007.361840,A1_78,0.034
,,00007.362080,A1_68,0.017
,,00007.384160,A1_25,0.037
,,00007.429600,A1_12,0.033
,,00007.624160,A1_67,0.021
,,00007.689760,A1_24,0.051
,,00008.120160,A1_71,0.059
,,00008.159360,A1_71,0.053
,,00008.251360,A1_76,0.046
,,00008.360960,A1_81,0.032
,,00008.485120,A1_76,0.045
,,00008.516160,A1_67,0.035
,,00008.546880,A1_76,0.036
,,00008.792560,A1_76,0.04
,,00008.879200,A1_86,0.022
,,00008.929680,A1_77,0.02
,,00009.041600,A1_76,0.035
,,00009.046640,A1_83,0.02
,,00009.281440,A1_67,0.019
,,00009.371120,A1_68,0.042
,,00009.406320,A1_86,0.022
,,00009.536320,A1_67,0.025
,,00009.592640,A1_76,0.039
,,00009.644960,A1_85,0.022
,,00009.774800,A1_83,0.02
,,00009.832480,A1_51,0.025
,,00009.867280,A1_51,0.022
,,00010.046560,A1_83,0.026
,,00010.267120,A1_68,0.04
,,00010.343200,A1_77,0.03
,,00010.343760,A1_67,0.019
,,00010.347680,A1_76,0.035
,,00010.369360,A1_78,0.038
,,00010.369520,A1_68,0.02
,,00010.414320,A1_17,0.084
,,00010.419920,A1_68,0.019
,,00010.423120,A1_17,0.064
,,00010.432480,A1_78,0.039
,,00010.432640,A1_68,0.024
,,00010.446880,A1_28,0.071
,,00010.459360,A1_77,0.035
,,00010.460880,A1_67,0.036
,,00010.463040,A1_26,0.025
,,00010.463520,A1_55,0.024
,,00010.463600,A1_18,0.024
,,00010.466160,A1_26,0.029
,,00010.466480,A1_78,0.039
,,00010.466640,A1_68,0.027
,,00010.466880,A1_88,0.022
,,00010.468480,A1_67,0.128
,,00010.468880,A1_34,0.023
,,00010.470720,A1_33,0.027
,,00010.471200,A1_67,0.027
,,00010.471280,A1_34,0.021
,,00010.472240,A1_46,0.063
,,00010.473040,A1_11,0.029
,,00010.473120,A1_55,0.027
,,00010.473600,A1_34,0.04
,,00010.473760,A1_78,0.028
,,00010.474080,A1_33,0.025
,,00010.474400,A1_44,0.031
,,00010.474400,A1_87,0.035
,,00010.475120,A1_72,0.036
,,00010.475840,A1_27,0.048
,,00010.475920,A1_17,0.048
,,00010.475920,A1_26,0.028
,,00010.476240,A1_73,0.03
,,00010.476240,A1_83,0.021
,,00010.476320,A1_18,0.023
,,00010.476480,A1_31,0.071
,,00010.476480,A1_32,0.026
,,00010.476960,A1_57,0.026
,,00010.477040,A1_34,0.035
,,00010.477040,A1_56,0.03
,,00010.477280,A1_58,0.025
,,00010.477520,A1_46,0.02
,,00010.478240,A1_76,0.038
,,00010.478400,A1_51,0.027
,,00010.478720,A1_52,0.03
,,00010.478720,A1_62,0.032
,,00010.478880,A1_55,0.055
,,00010.478960,A1_33,0.03
,,00010.478960,A1_53,0.028
,,00010.479360,A1_34,0.043
,,00010.479840,A1_18,0.026
,,00010.480000,A1_46,0.043
,,00010.480080,A1_13,0.03
,,00010.480080,A1_35,0.046
,,00010.480080,A1_38,0.039
,,00010.480240,A1_37,0.022
,,00010.480320,A1_57,0.034
,,00010.480720,A1_65,0.026
,,00010.480880,A1_78,0.055
,,00010.481440,A1_58,0.03
,,00010.481680,A1_11,0.036
,,00010.481760,A1_12,0.028
,,00010.481760,A1_52,0.043
,,00010.481840,A1_31,0.043
,,00010.481920,A1_17,0.029
,,00010.482480,A1_13,0.028
,,00010.482560,A1_55,0.044
,,00010.482960,A1_54,0.052
,,00010.482960,A1_67,0.13
,,00010.483040,A1_72,0.146
,,00010.483120,A1_51,0.032
,,00010.483120,A1_68,0.03
,,00010.483120,A1_71,0.049
,,00010.483200,A1_46,0.038
,,00010.483280,A1_23,0.03
,,00010.483360,A1_66,0.106
,,00010.483440,A1_15,0.035
,,00010.483520,A1_14,0.026
,,00010.483520,A1_53,0.027
,,00010.483600,A1_65,0.145
,,00010.483760,A1_26,0.027
,,00010.484080,A1_28,0.084
,,00010.484080,A1_35,0.024
,,00010.484080,A1_64,0.025
,,00010.484160,A1_18,0.04
,,00010.484320,A1_73,0.038
,,00010.484400,A1_63,0.028
,,00010.484400,A1_83,0.024
,,00010.484560,A1_38,0.038
,,00010.484720,A1_56,0.029
,,00010.484720,A1_57,0.037
,,00010.484960,A1_16,0.022
,,00010.485120,A1_48,0.025
,,00010.485120,A1_55,0.041
,,00010.485360,A1_68,0.038
,,00010.485520,A1_44,0.036
,,00010.485600,A1_22,0.022
,,00010.485680,A1_31,0.02
,,00010.485680,A1_66,0.075
,,00010.485680,A1_72,0.018
,,00010.485760,A1_78,0.047
,,00010.486080,A1_34,0.038
,,00010.486160,A1_32,0.024
,,00010.486160,A1_52,0.03
,,00010.486400,A1_46,0.028
,,00010.486640,A1_51,0.047
,,00010.486720,A1_18,0.032
,,00010.486720,A1_54,0.046
,,00010.486960,A1_33,0.03
,,00010.486960,A1_77,0.043
,,00010.487680,A1_14,0.062
,,00010.487920,A1_55,0.072
,,00010.488080,A1_62,0.041
,,00010.488160,A1_72,0.03
,,00010.488160,A1_82,0.03
,,00010.488720,A1_11,0.032
,,00010.488800,A1_48,0.025
,,00010.488880,A1_52,0.05
,,00010.488960,A1_53,0.062
,,00010.488960,A1_87,0.047
,,00010.489040,A1_66,0.089
,,00010.489200,A1_58,0.081
,,00010.489200,A1_63,0.025
,,00010.489360,A1_67,0.043
,,00010.489440,A1_51,0.048
,,00010.489600,A1_23,0.047
,,00010.489600,A1_61,0.059
,,00010.489920,A1_15,0.041
,,00010.490080,A1_65,0.032
,,00010.490240,A1_34,0.037
,,00010.490240,A1_71,0.031
,,00010.490320,A1_24,0.021
,,00010.490480,A1_13,0.047
,,00010.490560,A1_83,0.024
,,00010.490640,A1_64,0.08
,,00010.490640,A1_88,0.053
,,00010.490720,A1_32,0.026
,,00010.490800,A1_44,0.031
,,00010.490880,A1_82,0.084
,,00010.491360,A1_74,0.045
,,00010.491920,A1_11,0.033
,,00010.492000,A1_54,0.044
,,00010.492080,A1_57,0.035
,,00010.492400,A1_26,0.032
,,00010.492480,A1_21,0.06
,,00010.492480,A1_48,0.04
,,00010.492560,A1_23,0.04
,,00010.492640,A1_18,0.039
,,00010.492640,A1_55,0.048
,,00010.492640,A1_67,0.078
,,00010.492720,A1_17,0.074
,,00010.492720,A1_66,0.116
,,00010.492960,A1_34,0.025
,,00010.493040,A1_76,0.064
,,00010.493120,A1_51,0.027
,,00010.493360,A1_41,0.055
,,00010.493360,A1_71,0.054
,,00010.493440,A1_64,0.017
