Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div12 cortex 20200804 After venom overnight,00001.367840,D6_12,44,0.2404
Description,baseline 003 is after venom ,00001.406560,D6_33,31,0.19744
,,00001.378640,D6_24,25,0.2428
Maestro Edge Settings,,00001.391840,D6_41,23,0.2232
   Original File Time,08/05/2020 05:07:30,00001.346720,D6_31,12,0.11392
   Sampling Frequency,12.5 kHz,00001.683200,D4_32,8,0.16552
   Voltage Scale,-5.48486178148311E-08 V/sample,00001.682880,D5_14,18,0.17304
   Experiment Start Time,08/04/2020 19:07:14,00001.678720,D5_12,14,0.21968
   Referencing Method,Median,00001.658880,D5_13,28,0.15024
   Analog Mode Setting,Neural Spikes,00001.691360,D5_23,10,0.1216
   Plate Type,BioCircuit MEA 24,00001.680960,D5_34,16,0.16304
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.619920,D5_24,60,0.2512
   Digital High Pass Filter,200 Hz IIR,00001.630160,D5_42,54,0.24408
   Temperature Set Point,37.0 Degrees C,00001.630320,D5_43,48,0.26088
   Current Temperature,37.0 Degrees C,00001.678320,D5_32,9,0.086
   Heater Power,On,00001.414720,D6_14,19,0.23736
   Barcode Plate Type,TwentyFourWellCircuit,00001.390080,D6_23,46,0.34104
   Plate Serial Number,66-1802,00001.384400,D6_43,69,0.29608
   CO2 Conc. Set Point,5.0 %,00001.388080,D6_21,50,0.34152
   Actual CO2 Conc.,5.0 %,00001.393840,D6_22,51,0.29016
   Gas Mixer Status,Regulating,00001.628240,D5_33,53,0.33256
   AxIS Version,3.0.3.2,00001.663440,D5_44,49,0.32064
   Maestro Edge Firmware,3.0.3.2,00001.659520,D5_22,45,0.31168
   Maestro Edge BioCore Version,4B,00002.542960,D5_42,6,0.19064
,,00002.624640,D6_12,23,0.63536
AxIS Playback,,00003.632560,D5_43,6,0.2552
   AxIS Version,3.0.3.2,00003.996960,D5_44,8,0.32248
   File Name,50k div12 cortex 20200804 After venom overnight(010).raw,00006.042800,A5_14,38,0.27936
   Plate Type,BioCircuit MEA 24,00006.016880,A5_12,37,0.29552
   Requested File Section,0s to 10m0s,00006.048080,A5_13,42,0.30024
   Actual File Section Run,0s to 10m0s,00006.156000,A5_11,31,0.16856
   Recording Offset from File Start,0s,00006.087760,A5_33,17,0.3084
,,00006.174400,A5_23,37,0.18552
Spike Detector Settings,,00006.090640,A5_34,12,0.15592
   Method,Adaptive Threshold Crossing,00006.127840,A5_24,22,0.20608
   Threshold,6,00006.109840,A5_42,29,0.2152
   Threshold Status,Variable,00006.098080,A5_43,39,0.2184
   Threshold Crossing Only,True,00006.130160,A5_32,36,0.2116
   Pre-Spike Duration,0.84 ms,00006.135760,A5_44,19,0.18264
   Post-Spike Duration,2.16 ms,00006.140080,A5_21,12,0.19048
   Coincident Event Filter,Default (Well),00006.094880,A5_41,42,0.25112
   Coincidence Occurrence Threshold,4 Electrodes,00006.102800,A5_31,16,0.17952
   Coincidence Event Window,160 µs,00006.183120,A5_22,27,0.11688
   Allow Sample Overlap,false,00006.393840,D6_43,7,0.18656
   Spike Count Interval,1 s,00006.579120,B1_41,43,0.26184
,,00006.595920,B1_31,23,0.28728
Burst Detector Settings,,00006.672480,B1_12,11,0.17336
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00006.674640,B1_13,17,0.16392
   Maximum Inter-Spike Interval,100 ms,00006.576640,B1_22,30,0.27032
   Minimum Number of Spikes,5,00006.655440,B1_23,30,0.16296
   Enable Network Burst Detection,True,00006.637120,B1_14,10,0.09576
   Maximum Inter-Spike Interval (network bursts),100 ms,00006.680720,B1_33,7,0.0768
   Minimum Number of Spikes (network bursts),50,00006.661600,B1_24,28,0.20208
   Minimum Participating Electrodes (%),35,00006.661120,B1_34,31,0.2204
   Synchrony Window,20 ms,00006.665200,B1_32,40,0.208
,,00006.651440,B1_43,47,0.21792
,,00006.587120,B1_42,23,0.20888
,,00006.606960,B1_21,34,0.33208
,,00006.544720,B1_44,61,0.48712
,,00007.031360,A4_24,7,0.08112
,,00006.941200,A4_22,12,0.2
,,00006.988160,A4_14,26,0.20336
,,00006.994720,A4_12,32,0.30008
,,00007.006880,A4_13,13,0.16928
,,00006.918000,A4_11,58,0.28072
,,00006.958880,A4_33,31,0.2
,,00006.947120,A4_23,58,0.26744
,,00006.999280,A4_34,35,0.33472
,,00006.939520,A4_42,53,0.29416
,,00006.885280,A4_43,80,0.33968
,,00006.922800,A4_32,20,0.2776
,,00006.972240,A4_44,42,0.26056
,,00006.889600,A4_21,40,0.30392
,,00006.930000,A4_41,52,0.34296
,,00006.907840,A4_31,29,0.30264
,,00006.723440,D6_43,12,0.44168
,,00007.242160,C1_11,17,0.2244
,,00007.355360,C1_12,5,0.12608
,,00007.337920,C1_34,6,0.13824
,,00007.333120,C1_44,7,0.0696
,,00007.604560,D1_41,10,0.1528
,,00007.637600,D1_21,5,0.0936
,,00007.639120,D1_11,12,0.11248
,,00007.547760,D1_12,13,0.25336
,,00007.843680,B4_14,16,0.2112
,,00007.908720,B4_13,13,0.202
,,00007.878720,B4_33,10,0.17
,,00007.786400,B4_23,21,0.27208
,,00007.833280,B4_24,25,0.23256
,,00007.897600,B4_42,9,0.17264
,,00007.874400,B4_43,15,0.1892
,,00007.778240,B4_32,27,0.29904
,,00007.832880,B4_44,36,0.2516
,,00007.766640,B4_21,10,0.278
,,00007.806720,B4_41,43,0.26448
,,00007.774240,B4_31,18,0.27232
,,00007.852160,B4_22,44,0.23816
,,00008.259760,C3_11,7,0.12256
,,00007.749200,B4_11,35,0.41984
,,00008.424400,D2_11,5,0.11768
,,00008.133280,C3_41,60,0.44344
,,00008.134800,C3_21,79,0.43472
,,00008.257280,C3_12,30,0.24808
,,00008.209600,C3_23,31,0.3344
,,00008.227200,C3_14,29,0.21744
,,00008.161360,C3_34,52,0.35792
,,00008.275280,C3_32,29,0.20568
,,00008.295520,C3_43,9,0.17296
,,00008.101360,C3_42,96,0.50232
,,00008.183600,C3_22,25,0.50104
,,00008.451280,A4_12,9,0.4096
,,00008.973040,A4_12,7,0.32912
,,00008.954560,A4_44,7,0.33016
,,00008.904880,A5_13,10,0.29432
,,00009.375040,C3_42,14,0.29248
,,00010.032960,D2_41,5,0.05864
,,00010.049520,D2_11,10,0.058
,,00010.017120,D2_12,11,0.08088
,,00010.074560,D2_22,11,0.07008
,,00010.025520,D2_23,13,0.1164
,,00009.988400,D2_24,12,0.12992
,,00010.009840,D2_34,6,0.0904
,,00010.015440,D2_43,15,0.10576
,,00009.967680,D2_44,32,0.1636
,,00010.028320,D2_42,19,0.11352
,,00009.912880,C3_42,6,0.23064
,,00009.825280,A4_23,5,0.2216
,,00010.022800,D2_31,13,0.12848
,,00010.253360,C3_42,5,0.24016
,,00010.170720,A4_12,6,0.28688
,,00010.130240,A4_21,9,0.2708
,,00011.272720,C3_21,10,0.55312
,,00011.774160,D3_41,18,0.1756
,,00012.988880,A4_34,6,0.40576
,,00013.383440,B1_44,11,0.25336
,,00013.393040,B4_21,6,0.12144
,,00013.402080,B4_11,16,0.3692
,,00013.529520,B4_23,9,0.22816
,,00013.552240,B4_22,5,0.13776
,,00013.820080,B1_44,5,0.08648
,,00014.565840,A5_34,8,0.3228
,,00014.731920,A5_14,19,0.39912
,,00014.382000,A5_43,49,0.97104
,,00015.673520,A4_12,6,0.19624
,,00016.406880,A6_13,10,0.20792
,,00016.474320,A6_11,10,0.17024
,,00016.518560,A6_33,5,0.108
,,00016.450960,A6_23,7,0.1568
,,00016.490800,A6_34,7,0.1248
,,00016.432480,A6_44,10,0.18288
,,00016.480320,A6_22,6,0.11848
,,00016.438480,A6_12,23,0.24352
,,00016.508880,A6_24,23,0.23352
,,00016.505280,A6_42,15,0.17064
,,00016.504880,A6_43,23,0.192
,,00016.482640,A6_41,20,0.17448
,,00017.220640,D6_43,12,0.15224
,,00017.139120,D6_22,7,0.2012
,,00019.419360,B6_14,15,0.15632
,,00019.429360,B6_12,18,0.12752
,,00019.436080,B6_13,21,0.1312
,,00019.415280,B6_11,6,0.11672
,,00019.362240,B6_33,27,0.2732
,,00019.341360,B6_23,31,0.26992
,,00019.432800,B6_34,15,0.1752
,,00019.348000,B6_24,29,0.2464
,,00019.398560,B6_42,38,0.2304
,,00019.411600,B6_32,25,0.2244
,,00019.386640,B6_43,41,0.27088
,,00019.351840,B6_44,43,0.33
,,00019.263520,B6_21,57,0.38856
,,00019.319520,B6_41,65,0.41592
,,00019.322400,B6_31,57,0.46024
,,00019.427200,B6_22,30,0.26008
,,00019.894160,A4_34,6,0.20984
,,00020.159920,D2_41,5,0.14672
,,00020.207280,D2_31,5,0.08408
,,00020.158480,D2_11,6,0.14344
,,00020.154800,D2_12,14,0.1768
,,00020.102880,D2_23,9,0.20248
,,00020.165040,D2_24,9,0.14024
,,00020.116160,D2_34,6,0.1604
,,00020.046640,D2_43,7,0.26808
,,00019.966320,D2_44,17,0.31888
,,00020.053680,D2_42,17,0.3064
,,00020.028640,A5_14,19,0.34072
,,00020.230320,A5_12,9,0.13056
,,00020.287520,A5_11,5,0.0912
,,00020.266560,A5_23,6,0.05832
,,00020.041280,A5_34,8,0.29584
,,00019.855600,A5_43,59,0.49568
,,00020.417040,B1_44,13,0.2136
,,00020.285760,A5_13,18,0.13384
,,00020.296800,A5_24,5,0.17576
,,00020.593280,B1_21,5,0.13432
,,00020.467040,B1_22,8,0.19224
,,00020.472400,B4_11,12,0.3308
,,00020.595360,B4_23,8,0.17432
,,00020.646960,B4_44,12,0.13928
,,00020.512960,B4_21,9,0.2728
,,00020.521280,B4_41,11,0.24656
,,00020.597280,B4_31,6,0.12416
,,00020.572160,B4_22,8,0.1768
,,00021.184800,A4_34,7,0.45472
,,00020.672240,B6_31,29,0.96448
,,00022.503680,B6_31,5,0.29944
,,00024.808000,D1_41,14,0.1804
,,00024.794240,D1_21,12,0.19104
,,00024.887280,D1_31,10,0.10888
,,00024.810800,D1_11,19,0.1848
,,00024.664960,D1_12,30,0.36688
,,00024.901840,D1_23,8,0.12848
,,00024.868000,D1_14,7,0.0996
,,00024.793040,B1_22,9,0.18896
,,00024.690160,B1_44,19,0.29816
,,00026.964960,C4_14,13,0.1056
,,00026.867520,C4_12,47,0.25752
,,00026.939680,C4_13,8,0.05896
,,00026.900640,C4_33,34,0.24392
,,00026.929760,C4_23,35,0.21064
,,00026.909600,C4_34,30,0.21952
,,00026.959040,C4_42,16,0.15248
,,00026.945200,C4_32,30,0.18392
,,00026.869520,C4_11,65,0.37064
,,00026.931040,C4_24,26,0.22832
,,00026.899840,C4_44,37,0.298
,,00026.882800,C4_21,56,0.31952
,,00026.886800,C4_41,57,0.27616
,,00026.944480,C4_31,30,0.23968
,,00026.893600,C4_22,44,0.29656
,,00027.735520,D6_31,9,0.12672
,,00027.804800,D6_14,19,0.24656
,,00027.724160,D6_12,39,0.28344
,,00027.788320,D6_33,34,0.22192
,,00027.804160,D6_24,23,0.1688
,,00027.816080,D6_42,5,0.0856
,,00027.776800,D6_41,23,0.18416
,,00027.785520,D6_22,49,0.36336
,,00027.776160,D6_23,52,0.40088
,,00027.780880,D6_43,69,0.38256
,,00027.777520,D6_21,69,0.55328
,,00028.359600,C4_42,7,0.24552
,,00028.922640,C3_42,8,0.40136
,,00028.946480,C4_12,6,0.23616
,,00029.444480,B6_31,5,0.18008
,,00029.278640,D6_12,5,0.21456
,,00029.560800,B6_41,7,0.23488
,,00030.782480,C4_11,10,0.33408
,,00030.551040,C4_31,15,0.46312
,,00030.845200,C4_22,5,0.20536
,,00031.032000,C3_14,5,0.29464
,,00030.824880,B6_41,8,0.35456
,,00030.938240,B6_31,6,0.3052
,,00031.363600,D1_12,5,0.09016
,,00031.665920,B3_41,34,0.16032
,,00031.683040,B3_21,8,0.09256
,,00031.600960,B3_31,16,0.17904
,,00031.587600,B3_12,35,0.25352
,,00031.710880,B3_13,6,0.08368
,,00031.661280,B3_22,11,0.16128
,,00031.692880,B3_14,8,0.09544
,,00031.680160,B3_33,13,0.11928
,,00031.640560,B3_34,33,0.2532
,,00031.593600,B3_32,42,0.23072
,,00031.642720,B3_43,8,0.12688
,,00031.631360,B3_44,15,0.18976
,,00031.707760,B3_42,14,0.13704
,,00031.685920,B3_23,27,0.2276
,,00032.414960,C4_31,5,0.21528
,,00032.954240,D4_14,5,0.10016
,,00032.920400,D4_11,9,0.17816
,,00032.794640,D4_42,14,0.27904
,,00032.780720,D4_32,35,0.30832
,,00032.829600,D4_21,14,0.24632
,,00032.762240,D4_41,10,0.30248
,,00032.859280,D4_31,19,0.20408
,,00033.862640,B1_41,5,0.1072
,,00033.789120,B1_22,9,0.22424
,,00033.774560,B1_43,9,0.22448
,,00033.764880,B1_44,11,0.24992
,,00033.728560,A2_41,52,0.26624
,,00033.715680,A2_21,27,0.26792
,,00033.818160,A2_31,15,0.18648
,,00033.727360,A2_11,20,0.25504
,,00033.776320,A2_12,47,0.22632
,,00033.813440,A2_13,42,0.25384
,,00033.747440,A2_22,31,0.3056
,,00033.749280,A2_23,8,0.19224
,,00033.789360,A2_14,47,0.22584
,,00033.815120,A2_33,27,0.17944
,,00033.830720,A2_24,22,0.2104
,,00033.733520,A2_34,32,0.36408
,,00033.827200,A2_43,26,0.15816
,,00033.738000,A2_44,53,0.28832
,,00033.759520,A2_42,32,0.21992
,,00033.569520,D6_43,9,0.4552
,,00033.734160,A2_32,49,0.43552
,,00034.509520,D4_14,23,0.17128
,,00034.484640,D4_12,29,0.23248
,,00034.426400,D4_13,13,0.25056
,,00034.454960,D4_11,66,0.42192
,,00034.509520,D4_33,61,0.2984
,,00034.521280,D4_23,25,0.2512
,,00034.491600,D4_34,29,0.26328
,,00034.481520,D4_24,40,0.30488
,,00034.333360,D4_42,66,0.47208
,,00034.565280,D4_43,16,0.19528
,,00034.525600,D4_44,39,0.3112
,,00034.410160,D4_21,62,0.3792
,,00034.359200,D4_31,72,0.4908
,,00034.486720,D4_22,55,0.2792
,,00034.955680,A2_11,5,0.09208
,,00034.367040,D4_32,91,0.55232
,,00034.338160,D4_41,59,0.6468
,,00035.010160,D6_43,7,0.20216
,,00035.677040,A2_44,5,0.23872
,,00035.852640,D4_41,5,0.28064
,,00036.060640,D4_14,8,0.32512
,,00036.249120,A5_34,5,0.10336
,,00036.231280,A5_43,30,0.16584
,,00036.147520,D4_11,15,0.43784
,,00036.386080,D4_32,7,0.25512
,,00036.239440,A5_14,11,0.17832
,,00036.289840,A5_12,10,0.15432
,,00036.242480,A5_13,21,0.24
,,00036.380000,A5_11,5,0.0664
,,00036.408720,A5_24,5,0.07608
,,00036.269840,A5_41,9,0.13592
,,00036.742320,D4_32,7,0.32584
,,00037.021120,A2_12,5,0.22896
,,00037.395280,D1_41,7,0.07008
,,00037.372400,D1_21,7,0.1096
,,00037.346160,D1_11,7,0.18432
,,00037.389200,D1_12,11,0.13472
,,00037.363760,D4_21,7,0.358
,,00038.066800,A1_22,10,0.058
,,00038.075520,A1_34,7,0.06048
,,00037.913040,A1_41,60,0.37352
,,00037.927120,A1_21,58,0.41752
