Investigator,Alberto,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div12 cortex 20200804 After venom overnight,00001.346720,D6,380,0.3844,13,29.230769,20.501984
Description,baseline 003 is after venom ,00001.619920,D5,412,0.36416,14,29.428571,20.20507
,,00006.016880,A5,456,0.37928,16,28.5,10.428327
Maestro Edge Settings,,00006.544720,B1,435,0.48712,15,29,14.334108
   Original File Time,08/05/2020 05:07:30,00006.885280,A4,590,0.50728,16,36.875,19.208965
   Sampling Frequency,12.5 kHz,00007.649680,B4,328,0.51936,16,20.5,13.205112
   Voltage Scale,-5.48486178148311E-08 V/sample,00007.994000,C3,456,0.69064,11,41.454545,26.962479
   Experiment Start Time,08/04/2020 19:07:14,00008.114000,A4,55,1.21136,9,6.111111,6.261779
   Referencing Method,Median,00009.967680,D2,155,0.1836,14,11.071429,7.563675
   Analog Mode Setting,Neural Spikes,00013.393040,B4,57,0.37824,12,4.75,4.105382
   Plate Type,BioCircuit MEA 24,00014.354960,A5,91,0.99808,12,7.583333,13.744444
   Digital Low Pass Filter,3 kHz Kaiser Window,00016.406880,A6,169,0.36416,15,11.266667,7.32545
   Digital High Pass Filter,200 Hz IIR,00019.263520,B6,518,0.51912,16,32.375,16.266819
   Temperature Set Point,37.0 Degrees C,00019.966320,D2,97,0.39376,12,8.083333,5.203498
   Current Temperature,37.0 Degrees C,00019.785760,A5,149,0.742,15,9.933333,14.233606
   Heater Power,On,00020.472400,B4,79,0.3308,13,6.076923,3.970304
   Barcode Plate Type,TwentyFourWellCircuit,00024.664960,D1,124,0.36688,16,7.75,7.838208
   Plate Serial Number,66-1802,00026.867520,C4,533,0.48776,16,33.3125,17.247169
   CO2 Conc. Set Point,5.0 %,00027.614560,D6,405,0.82304,14,28.928571,23.331352
   Actual CO2 Conc.,5.0 %,00028.237360,C4,82,2.17056,11,7.454545,4.57987
   Gas Mixer Status,Regulating,00031.587600,B3,277,0.32592,16,17.3125,12.215353
   AxIS Version,3.0.3.2,00032.762240,D4,126,0.33632,14,9,8.99206
   Maestro Edge Firmware,3.0.3.2,00033.764880,B1,56,0.26512,12,4.666667,3.27448
   Maestro Edge BioCore Version,4B,00033.715680,A2,531,0.454,16,33.1875,13.300464
,,00034.222480,D4,748,0.76248,16,46.75,22.261232
AxIS Playback,,00036.231280,A5,114,0.25352,15,7.6,7.770028
   AxIS Version,3.0.3.2,00037.913040,A1,424,0.4316,16,26.5,17.428425
   File Name,50k div12 cortex 20200804 After venom overnight(010).raw,00035.766240,D4,157,3.25496,12,13.083333,14.470996
   Plate Type,BioCircuit MEA 24,00038.755600,B2,496,0.45328,16,31,15.632498
   Requested File Section,0s to 10m0s,00043.025200,D2,355,0.3208,14,25.357143,12.792895
   Actual File Section Run,0s to 10m0s,00044.274640,C1,382,0.50808,15,25.466667,13.918174
   Recording Offset from File Start,0s,00046.129600,C6,521,0.4828,16,32.5625,14.504175
,,00046.605440,B2,63,0.27168,12,5.25,5.214163
Spike Detector Settings,,00046.424400,D6,355,0.52584,13,27.307692,19.675774
   Method,Adaptive Threshold Crossing,00047.136160,C6,93,1.5096,8,11.625,11.936682
   Threshold,6,00049.232000,A6,154,0.66552,16,9.625,8.107674
   Threshold Status,Variable,00049.760400,D1,169,0.34784,16,10.5625,10.167157
   Threshold Crossing Only,True,00051.622320,D3,346,0.32216,16,21.625,13.769872
   Pre-Spike Duration,0.84 ms,00052.908880,B3,264,0.35888,16,16.5,12.25765
   Post-Spike Duration,2.16 ms,00056.794880,B3,54,0.63368,8,6.75,10.121141
   Coincident Event Filter,Default (Well),00057.387360,A2,468,0.37008,16,29.25,11.986972
   Coincidence Occurrence Threshold,4 Electrodes,00061.446720,D2,56,0.22984,12,4.666667,3.32499
   Coincidence Event Window,160 µs,00062.739120,A4,566,0.51712,16,35.375,16.736469
   Allow Sample Overlap,false,00063.450160,A6,679,0.63032,16,42.4375,16.977812
   Spike Count Interval,1 s,00063.754080,A1,379,0.43408,16,23.6875,16.995289
,,00064.967680,D4,663,1.03008,16,41.4375,18.141695
Burst Detector Settings,,00064.840000,A6,109,2.62584,10,10.9,10.064293
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00068.041760,B4,56,0.35232,12,4.666667,3.566823
   Maximum Inter-Spike Interval,100 ms,00066.500400,D4,121,2.26368,8,15.125,21.079834
   Minimum Number of Spikes,5,00071.826160,A4,136,0.32904,12,11.333333,8.229351
   Enable Network Burst Detection,True,00077.267760,D6,103,0.23264,10,10.3,7.085902
   Maximum Inter-Spike Interval (network bursts),100 ms,00077.731440,A6,57,0.25824,13,4.384615,3.363571
   Minimum Number of Spikes (network bursts),50,00078.015760,A2,429,0.4712,16,26.8125,11.769764
   Minimum Participating Electrodes (%),35,00078.413440,B4,60,0.62208,10,6,2.966479
   Synchrony Window,20 ms,00079.159920,A5,171,0.45024,16,10.6875,9.332194
,,00081.419760,B5,684,0.49768,16,42.75,16.872684
,,00080.982400,A2,130,1.53072,8,16.25,13.386093
,,00083.786880,D4,68,0.36208,12,5.666667,5.572751
,,00084.112880,C1,72,0.2828,12,6,6.480741
,,00085.113600,D5,407,0.49104,14,29.071429,18.587494
,,00085.625440,A4,219,0.27848,15,14.6,9.87117
,,00086.743680,D6,367,0.58152,13,28.230769,20.666412
,,00087.122720,C2,435,0.56096,15,29,16.512621
,,00089.692880,B1,420,0.47216,16,26.25,14.804982
,,00091.502880,C5,451,0.59936,15,30.066667,21.477016
,,00092.543760,B2,475,0.41592,16,29.6875,14.772097
,,00092.613360,C4,484,0.39136,16,30.25,15.638494
,,00092.687760,C3,436,0.86408,12,36.333333,22.425184
,,00092.846720,C5,60,1.66384,7,8.571429,11.647896
,,00095.118000,C3,54,1.02168,8,6.75,6.959705
,,00097.056720,C1,95,0.3308,12,7.916667,8.817203
,,00097.977600,B2,56,0.30848,11,5.090909,3.6545
,,00098.063040,A5,584,0.4596,16,36.5,15.640492
,,00098.987360,C5,438,0.51856,15,29.2,22.163633
,,00099.657360,B5,620,0.58552,16,38.75,15.57843
,,00101.912880,C5,143,0.62896,10,14.3,12.426182
,,00103.946640,C5,110,0.61632,10,11,13.475904
,,00105.291280,C5,75,0.50552,8,9.375,10.02419
,,00106.901120,C2,56,0.22576,12,4.666667,4.496912
