Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection,00000.874720,A3_34,9,0.13336
Description,after infection,00004.911200,B6_21,6,0.12576
,,00005.144560,B6_21,6,0.1408
Maestro Edge Settings,,00005.444880,A3_34,6,0.21056
   Original File Time,08/25/2020 13:32:14,00006.156560,B4_43,6,0.1384
   Sampling Frequency,12.5 kHz,00006.709920,C3_22,6,0.09984
   Voltage Scale,-5.48486178148311E-08 V/sample,00006.469520,A5_24,11,0.376
   Experiment Start Time,08/25/2020 13:31:59,00007.085680,B5_12,8,0.11056
   Referencing Method,Median,00007.047680,B5_23,6,0.15432
   Analog Mode Setting,Neural Spikes,00007.079440,B5_22,6,0.10328
   Plate Type,BioCircuit MEA 24,00007.400240,D3_42,6,0.0944
   Digital Low Pass Filter,3 kHz Kaiser Window,00008.520720,D1_42,7,0.1392
   Digital High Pass Filter,200 Hz IIR,00008.720960,B5_12,5,0.10096
   Temperature Set Point,37.0 Degrees C,00012.623280,A3_34,6,0.13216
   Current Temperature,37.2 Degrees C,00012.642720,B6_21,5,0.15616
   Heater Power,On,00014.937600,C3_22,5,0.06952
   Barcode Plate Type,TwentyFourWellCircuit,00016.454640,A5_24,11,0.42768
   Plate Serial Number,66-1901,00019.738080,C4_42,5,0.1936
   CO2 Conc. Set Point,5.0 %,00021.914560,C3_12,12,0.12048
   Actual CO2 Conc.,4.6 %,00022.005760,C3_43,12,0.09392
   Gas Mixer Status,Regulating,00021.999280,C3_14,33,0.17256
   AxIS Version,3.0.3.2,00021.939040,C3_24,31,0.23128
   Maestro Edge Firmware,3.0.3.2,00021.994320,C3_22,23,0.58576
   Maestro Edge BioCore Version,4B,00023.249920,C3_24,5,0.10192
,,00023.077360,C3_43,14,0.24792
AxIS Playback,,00023.244000,C3_12,12,0.34024
   AxIS Version,3.0.3.2,00023.296560,C3_22,18,0.6268
   File Name,2 h experimet.raw,00024.131840,C3_43,9,0.06176
   Plate Type,BioCircuit MEA 24,00024.371040,C3_43,16,0.21224
   Requested File Section,0s to 1h59m0s,00024.371520,C3_12,18,0.49392
   Actual File Section Run,0s to 1h59m0s,00024.484640,C3_22,6,0.22264
   Recording Offset from File Start,0s,00024.176720,C3_24,36,0.50976
,,00025.138480,C3_24,13,0.21416
Spike Detector Settings,,00025.138240,C3_43,9,0.1804
   Method,Adaptive Threshold Crossing,00025.609280,D1_42,5,0.07184
   Threshold,6,00025.579280,C3_22,6,0.17256
   Threshold Status,Variable,00026.232240,A5_24,6,0.24424
   Threshold Crossing Only,True,00026.489520,D3_42,14,0.298
   Pre-Spike Duration,0.84 ms,00026.479440,C3_13,6,0.22736
   Post-Spike Duration,2.16 ms,00027.040560,C3_43,14,0.22016
   Coincident Event Filter,Default (Well),00028.126240,C3_43,12,0.1624
   Coincidence Occurrence Threshold,4 Electrodes,00028.091040,A3_34,12,0.1772
   Coincidence Event Window,160 µs,00029.269760,C3_43,10,0.13984
   Allow Sample Overlap,false,00030.309200,B6_21,9,0.22576
   Spike Count Interval,1 s,00030.687120,D5_12,10,0.12896
,,00030.684640,D5_13,9,0.07472
Burst Detector Settings,,00030.696800,D5_33,25,0.11152
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00030.703280,D5_43,16,0.146
   Maximum Inter-Spike Interval,100 ms,00030.708240,D5_21,7,0.0588
   Minimum Number of Spikes,5,00030.711680,D5_41,8,0.06464
   Enable Network Burst Detection,True,00031.795840,A2_44,5,0.14616
   Maximum Inter-Spike Interval (network bursts),100 ms,00031.762240,D3_12,5,0.15864
   Minimum Number of Spikes (network bursts),50,00031.749120,D3_42,8,0.16672
   Minimum Participating Electrodes (%),35,00032.024560,D4_43,6,0.2008
   Synchrony Window,20 ms,00032.263520,D4_21,9,0.52928
,,00033.020720,A5_24,8,0.19848
,,00033.838640,B3_22,7,0.08424
,,00034.730880,B2_32,6,0.27928
,,00034.988560,D4_43,8,0.12088
,,00035.029280,D4_21,6,0.06592
,,00035.052000,B6_23,7,0.10312
,,00038.990400,A6_24,5,0.12672
,,00038.972480,A6_23,7,0.18688
,,00038.820240,B6_21,13,0.42328
,,00039.321280,B1_14,11,0.20104
,,00040.610080,C1_11,5,0.0764
,,00041.852640,D5_33,22,0.1392
,,00041.901040,D5_43,7,0.09408
,,00041.876480,D5_21,10,0.12744
,,00041.901200,D5_41,13,0.08576
,,00042.779680,D4_43,6,0.13496
,,00042.791360,D4_21,9,0.1432
,,00043.023200,A5_24,7,0.33888
,,00043.546560,D6_32,6,0.0764
,,00043.849440,D3_42,5,0.17632
,,00043.980800,B3_22,7,0.10728
,,00046.736320,B5_14,5,0.1124
,,00046.713360,B5_12,14,0.14624
,,00046.731440,B5_23,8,0.11808
,,00046.761760,B5_22,11,0.12144
,,00047.845600,A3_34,6,0.08344
,,00048.642960,B2_32,9,0.20576
,,00049.381840,D5_12,8,0.11808
,,00049.358800,D5_13,8,0.06664
,,00049.315120,D5_33,18,0.152
,,00049.414320,D5_43,10,0.15008
,,00049.402960,D5_41,9,0.05856
,,00050.450800,A5_24,7,0.24896
,,00051.547600,D3_12,5,0.16936
,,00052.396320,A5_24,9,0.37184
,,00053.248080,D3_42,8,0.17904
,,00055.357520,C3_22,5,0.03128
,,00055.902320,C3_22,10,0.2164
,,00056.194720,D1_42,7,0.18624
,,00057.303920,D3_42,5,0.1264
,,00058.092720,A3_34,7,0.2212
,,00059.262480,D3_42,15,0.32144
,,00059.820480,A5_24,10,0.31368
,,00060.277120,D3_42,11,0.2504
,,00060.576400,B4_43,5,0.07096
,,00060.351280,B5_12,9,0.11528
,,00060.362480,B5_23,7,0.16952
,,00060.393200,B5_22,5,0.08344
,,00061.409120,D3_42,7,0.20456
,,00064.231760,A5_24,5,0.10184
,,00065.035760,A3_34,17,0.4392
,,00065.459440,B5_12,12,0.18952
,,00065.441440,B5_23,5,0.1868
,,00065.382240,B5_22,10,0.24632
,,00066.758800,D3_42,7,0.1464
,,00067.946080,D3_42,8,0.28808
,,00068.677840,A3_34,12,0.32376
,,00069.315280,B3_22,5,0.1748
,,00071.300080,A5_24,10,0.27552
,,00072.255360,B5_12,9,0.12272
,,00072.249280,B5_23,5,0.12136
,,00072.253600,B5_22,6,0.19616
,,00074.855680,B2_32,5,0.20528
,,00075.570560,C3_22,5,0.0608
,,00075.795760,C3_22,5,0.09464
,,00076.080800,A5_13,5,0.30296
,,00076.205920,D3_42,8,0.2044
,,00076.389680,A5_24,9,0.30112
,,00077.774880,B5_22,5,0.1084
,,00077.774160,B5_12,9,0.14128
,,00079.035760,A3_34,6,0.22312
,,00079.485920,D1_42,7,0.13736
,,00079.852240,D3_42,7,0.25664
,,00080.974240,D3_42,9,0.18264
,,00081.140000,B2_32,5,0.26048
,,00081.947280,D3_42,9,0.30568
,,00081.912320,A5_24,10,0.34744
,,00083.441840,D3_42,13,0.27328
,,00084.530320,D5_23,24,0.47712
,,00085.871760,D5_23,5,0.03304
,,00087.376560,C3_22,6,0.12512
,,00087.283840,C3_24,15,0.14792
,,00087.768160,D4_43,12,0.09792
,,00087.843360,C3_22,7,0.16104
,,00087.773680,D4_21,11,0.13376
,,00088.262160,D4_21,8,0.25664
,,00089.054400,C3_43,5,0.05352
,,00088.671600,A5_13,6,0.27232
,,00089.002800,A5_24,6,0.17088
,,00089.112800,C3_24,17,0.36792
,,00090.718480,C3_24,8,0.12872
,,00090.696800,C3_43,9,0.02416
,,00090.794480,C3_22,23,0.51224
,,00090.828240,C3_43,13,0.36368
,,00091.533360,A5_24,7,0.19592
,,00092.903200,D3_42,7,0.17616
,,00093.532800,C4_41,5,0.03896
,,00093.472160,C4_42,8,0.24704
,,00094.998080,D3_42,11,0.49752
