Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 baseline,00000.045040,D1_31,13,0.03472
Description,baseline,00000.060880,D1_12,8,0.02096
,,00000.004080,C1_14,9,0.04424
Maestro Edge Settings,,00000.074640,B1_14,15,0.06992
   Original File Time,08/25/2020 12:11:14,00000.004000,B1_24,29,0.12768
   Sampling Frequency,12.5 kHz,00000.006640,A1_41,8,0.04312
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.049680,A1_12,18,0.04464
   Experiment Start Time,08/25/2020 12:11:14,00000.092320,A1_14,10,0.0528
   Referencing Method,Median,00000.050480,A1_34,15,0.06632
   Analog Mode Setting,Neural Spikes,00000.089200,D2_31,12,0.03656
   Plate Type,BioCircuit MEA 24,00000.075600,D2_12,10,0.02312
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.000240,D2_24,7,0.0504
   Digital High Pass Filter,200 Hz IIR,00000.000960,D2_34,8,0.06952
   Temperature Set Point,37.0 Degrees C,00000.067120,D2_32,16,0.05592
   Current Temperature,37.0 Degrees C,00000.095120,D2_43,10,0.02744
   Heater Power,On,00000.043600,D2_44,18,0.07016
   Barcode Plate Type,TwentyFourWellCircuit,00000.064240,C2_13,7,0.01576
   Plate Serial Number,66-1901,00000.051600,C2_14,10,0.02376
   CO2 Conc. Set Point,5.0 %,00000.000240,C2_24,9,0.06288
   Actual CO2 Conc.,5.3 %,00000.082320,B2_13,15,0.03728
   Gas Mixer Status,Regulating,00000.055520,B2_22,9,0.0284
   AxIS Version,3.0.3.2,00000.079680,B2_23,8,0.01768
   Maestro Edge Firmware,3.0.3.2,00000.087760,B2_14,17,0.04728
   Maestro Edge BioCore Version,4B,00000.000240,B2_43,34,0.10352
,,00000.080720,D3_41,18,0.0644
AxIS Playback,,00000.078880,C3_41,13,0.0344
   AxIS Version,3.0.3.2,00000.000800,C3_21,13,0.0484
   File Name,baseline.raw,00000.071520,C3_14,21,0.07824
   Plate Type,BioCircuit MEA 24,00000.086400,C3_34,18,0.05344
   Requested File Section,0s to 1h0m25s,00000.081440,C3_42,9,0.04752
   Actual File Section Run,0s to 1h0m25s,00000.080000,B3_41,11,0.03056
   Recording Offset from File Start,0s,00000.032880,B3_14,14,0.03848
,,00000.060720,B3_24,8,0.02624
Spike Detector Settings,,00000.080720,A3_41,10,0.02392
   Method,Adaptive Threshold Crossing,00000.052320,A3_12,16,0.05568
   Threshold,6,00000.096720,A3_24,8,0.03152
   Threshold Status,Variable,00000.039440,A4_12,9,0.02288
   Threshold Crossing Only,True,00000.081280,A4_34,12,0.03616
   Pre-Spike Duration,0.84 ms,00000.061680,D4_13,19,0.06184
   Post-Spike Duration,2.16 ms,00000.002320,A5_13,20,0.11856
   Coincident Event Filter,Default (Well),00000.110320,A5_42,6,0.02424
   Coincidence Occurrence Threshold,4 Electrodes,00000.083920,D5_13,9,0.06496
   Coincidence Event Window,160 µs,00000.003280,D5_23,9,0.04768
   Allow Sample Overlap,false,00000.092080,D5_41,8,0.05776
   Spike Count Interval,1 s,00000.118240,A6_23,8,0.02016
,,00000.114880,A6_42,10,0.02856
Burst Detector Settings,,00000.112880,A6_31,10,0.02464
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00000.000080,A6_22,9,0.09592
   Maximum Inter-Spike Interval,100 ms,00000.044000,B6_13,7,0.01624
   Minimum Number of Spikes,5,00000.009440,B6_34,11,0.11376
   Enable Network Burst Detection,True,00000.116880,B6_41,10,0.02656
   Maximum Inter-Spike Interval (network bursts),100 ms,00000.042960,B6_22,7,0.01448
   Minimum Number of Spikes (network bursts),50,00000.108080,C6_12,11,0.03416
   Minimum Participating Electrodes (%),35,00000.000320,C6_34,35,0.0972
   Synchrony Window,20 ms,00000.056560,C6_24,11,0.03024
,,00000.115840,C6_42,9,0.02768
,,00000.035760,C6_22,25,0.0904
,,00000.000880,D6_14,8,0.0788
,,00000.003200,D6_41,37,0.09632
,,00000.097680,D1_33,11,0.0668
,,00000.089760,D1_24,64,0.22536
,,00000.057920,D1_34,56,0.2072
,,00000.172720,D1_32,12,0.1188
,,00000.049600,C1_34,47,0.27944
,,00000.116080,B1_41,27,0.15304
,,00000.068560,B1_13,36,0.18152
,,00000.174560,B1_44,25,0.1256
,,00000.098800,A1_32,36,0.1268
,,00000.104080,A1_44,40,0.1412
,,00000.140320,D2_41,32,0.17208
,,00000.106000,D2_23,37,0.234
,,00000.129920,C2_41,46,0.2352
,,00000.083040,C2_23,36,0.21056
,,00000.175040,C2_34,6,0.0688
,,00000.007600,C2_43,53,0.2376
,,00000.035360,B2_12,59,0.2804
,,00000.192720,A2_41,28,0.134
,,00000.051760,A2_12,44,0.14672
,,00000.206960,D3_11,39,0.13376
,,00000.072400,D3_12,93,0.28896
,,00000.057440,D3_13,52,0.13648
,,00000.093040,D3_22,77,0.23144
,,00000.150560,D3_23,12,0.05376
,,00000.104720,D3_33,32,0.1
