Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,50k div20 cortex plate2 after infection overnight,00001.105120,B1_14,12,0.1792
Description,after infection overnight,00001.605360,D3_41,5,0.05104
,,00001.634000,D3_32,5,0.13504
Maestro Edge Settings,,00001.963440,B3_22,8,0.03328
   Original File Time,08/25/2020 23:32:59,00003.666080,B2_32,8,0.2624
   Sampling Frequency,12.5 kHz,00004.234640,D3_42,6,0.13632
   Voltage Scale,-5.48486178148311E-08 V/sample,00004.804560,D5_33,13,0.29648
   Experiment Start Time,08/25/2020 15:32:43,00004.981920,D5_43,5,0.12632
   Referencing Method,Median,00004.936800,D5_41,14,0.19856
   Analog Mode Setting,Neural Spikes,00005.004720,D5_12,18,0.6412
   Plate Type,BioCircuit MEA 24,00005.528240,A1_43,6,0.18728
   Digital Low Pass Filter,3 kHz Kaiser Window,00005.495360,D5_13,12,0.24864
   Digital High Pass Filter,200 Hz IIR,00005.577920,D5_43,16,0.10864
   Temperature Set Point,37.0 Degrees C,00005.477120,D5_21,11,0.25248
   Current Temperature,37.0 Degrees C,00005.514960,D5_41,24,0.28256
   Heater Power,On,00005.970080,C3_43,5,0.04376
   Barcode Plate Type,TwentyFourWellCircuit,00005.310880,D5_33,49,0.79784
   Plate Serial Number,66-1901,00007.021760,B6_41,7,0.36896
   CO2 Conc. Set Point,5.0 %,00007.998240,A5_13,8,0.22288
   Actual CO2 Conc.,4.9 %,00009.381840,A6_24,8,0.12872
   Gas Mixer Status,Regulating,00009.542640,A2_44,17,0.21896
   AxIS Version,3.0.3.2,00009.773040,D4_43,8,0.06544
   Maestro Edge Firmware,3.0.3.2,00009.741360,D4_44,9,0.08792
   Maestro Edge BioCore Version,4B,00009.767760,D4_32,9,0.16896
,,00010.115680,D2_34,5,0.09496
AxIS Batch Process,,00009.742800,D4_21,28,0.68368
   AxIS Version,3.0.3.2,00011.377520,B6_14,6,0.14576
   File Name,o.n experimet read 4.raw,00011.279920,B6_23,12,0.13776
   Plate Type,BioCircuit MEA 24,00011.360320,B6_24,6,0.17608
   Requested File Section,0s to 10m0s,00011.327840,B6_21,10,0.12776
   Actual File Section Run,0s to 10m0s,00011.353120,B6_41,23,0.64648
   Recording Offset from File Start,0s,00012.287840,D4_43,8,0.06904
,,00012.289680,D4_44,6,0.04176
Spike Detector Settings,,00012.248640,D4_21,8,0.10616
   Method,Adaptive Threshold Crossing,00012.416480,D2_31,9,0.14096
   Threshold,6,00012.203040,D4_32,6,0.23736
   Threshold Status,Variable,00011.913520,B6_23,14,0.48656
   Threshold Crossing Only,True,00012.369120,D2_23,24,0.29024
   Pre-Spike Duration,0.84 ms,00012.596000,D5_12,7,0.146
   Post-Spike Duration,2.16 ms,00012.598800,D5_33,9,0.11128
   Coincident Event Filter,Default (Well),00012.592960,D5_43,6,0.11408
   Coincidence Occurrence Threshold,4 Electrodes,00012.144560,B6_41,13,0.67008
   Coincidence Event Window,160 µs,00012.410080,D2_34,33,0.59944
   Allow Sample Overlap,false,00012.956400,C4_23,6,0.07888
   Spike Count Interval,1 s,00012.960240,C4_34,5,0.14112
,,00012.946400,C4_42,14,0.19936
Burst Detector Settings,,00012.966880,C4_41,14,0.10776
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00012.430160,D2_21,35,0.79984
   Maximum Inter-Spike Interval,100 ms,00013.187600,C3_43,6,0.20496
   Minimum Number of Spikes,5,00013.364640,B6_14,7,0.168
   Enable Network Burst Detection,True,00013.296000,B6_23,17,0.25408
   Maximum Inter-Spike Interval (network bursts),100 ms,00013.293920,B6_21,8,0.2344
   Minimum Number of Spikes (network bursts),50,00013.717760,A1_41,6,0.10088
   Minimum Participating Electrodes (%),35,00013.738480,A1_43,6,0.14704
   Synchrony Window,20 ms,00013.449360,B6_24,9,0.33728
,,00013.291680,B6_41,15,0.49696
,,00014.112240,D5_33,8,0.13632
,,00013.651440,B6_23,14,0.5612
,,00014.189760,B2_32,9,0.27608
,,00015.312080,D2_34,5,0.10744
,,00016.056160,D4_32,7,0.25144
,,00017.985040,D2_21,15,0.31208
,,00018.246080,A2_44,15,0.29144
,,00020.793920,D5_12,6,0.19312
,,00020.827360,D5_33,9,0.09488
,,00020.820560,D5_43,7,0.16488
,,00020.803200,D5_41,5,0.10096
,,00026.152800,D4_21,7,0.23128
,,00026.733200,D2_21,5,0.09472
,,00026.720480,B2_32,6,0.17704
,,00027.313600,B5_44,5,0.074
,,00026.957360,B6_23,5,0.3076
,,00027.277360,B5_12,17,0.19256
,,00027.310000,B5_22,9,0.10016
,,00027.828400,A1_43,6,0.1456
,,00028.239040,B3_22,5,0.0144
,,00028.595760,B5_12,15,0.2188
,,00028.564000,B5_13,5,0.20016
,,00028.548080,B5_22,8,0.21592
,,00030.126240,B6_23,9,0.26568
,,00030.579120,B5_12,13,0.1556
,,00030.608640,B5_22,6,0.13328
,,00032.173440,B6_23,7,0.12472
,,00032.116960,B6_21,7,0.19504
,,00032.245120,D4_21,12,0.15624
,,00032.825600,C1_23,6,0.06904
,,00032.807920,C1_11,24,0.14976
,,00032.827760,C1_22,11,0.11192
,,00032.790160,C1_24,5,0.17552
,,00032.803120,C1_43,7,0.11896
,,00032.820160,C1_42,12,0.10912
,,00034.776320,D4_43,12,0.12712
,,00034.787440,D4_32,9,0.1356
,,00034.814080,D4_44,10,0.11176
,,00034.830000,D4_21,20,0.36504
,,00035.519440,C1_21,7,0.05568
,,00035.517120,C1_22,11,0.12088
,,00035.406080,C1_43,7,0.21944
,,00035.497920,C1_11,32,0.28208
,,00035.499600,C1_23,16,0.18376
,,00035.518800,C1_42,32,0.19968
,,00035.386160,D4_21,9,0.36392
,,00036.146400,B5_12,10,0.1736
,,00036.230560,B5_44,6,0.05776
,,00036.148320,B5_22,7,0.14712
,,00036.813440,B2_32,6,0.21824
,,00037.239200,C1_23,7,0.0708
,,00037.230080,C1_42,10,0.09864
,,00037.220240,C1_11,8,0.22328
,,00038.109520,D5_33,8,0.10232
,,00038.143200,D5_43,7,0.07712
,,00038.076960,D5_41,5,0.08112
,,00039.950720,B3_32,6,0.15376
,,00039.942080,B3_22,10,0.22576
,,00040.740320,A2_44,11,0.24288
,,00041.086640,D4_21,5,0.12992
,,00041.906400,D2_21,8,0.15312
,,00042.552640,C3_12,8,0.04568
,,00042.561600,C3_14,11,0.04096
,,00042.396240,C3_24,19,0.22976
,,00042.531520,C3_43,10,0.06008
,,00042.577280,D5_33,16,0.13696
,,00042.587920,D5_43,11,0.18704
,,00042.572880,D5_21,6,0.0928
,,00042.567840,D5_41,22,0.16648
,,00042.619840,D5_12,12,0.4104
,,00043.602000,D5_43,6,0.19368
,,00043.762560,D5_33,6,0.1948
,,00044.239760,D2_21,5,0.15008
,,00044.215120,D2_31,6,0.07544
,,00043.701760,D5_12,20,0.63
,,00043.997120,D5_13,15,0.28144
,,00044.193920,D5_43,12,0.18424
,,00044.160080,D5_41,7,0.21352
