Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection,00021.863920,C3,120,0.86408,6,20,11.015141
Description,after infection,00024.131840,C3,96,0.7336,6,16,12.675436
,,00030.684640,D5,78,0.16464,8,9.75,7.241374
Maestro Edge Settings,,00041.798800,D5,70,0.20512,9,7.777778,6.014386
   Original File Time,08/25/2020 13:32:14,00049.239600,D5,60,0.3248,9,6.666667,5.374839
   Sampling Frequency,12.5 kHz,00117.060560,D5,83,0.20808,8,10.375,6.688376
   Voltage Scale,-5.48486178148311E-08 V/sample,00119.361440,B5,254,0.63184,11,23.090909,27.04022
   Experiment Start Time,08/25/2020 13:31:59,00120.420080,B5,87,0.43984,9,9.666667,11.97219
   Referencing Method,Median,00132.119920,B3,83,0.67584,6,13.833333,12.37493
   Analog Mode Setting,Neural Spikes,00146.868400,C3,102,0.372,7,14.571429,10.362806
   Plate Type,BioCircuit MEA 24,00156.537760,B4,86,0.36496,8,10.75,11.098987
   Digital Low Pass Filter,3 kHz Kaiser Window,00160.694720,D1,50,0.9308,7,7.142857,9.991834
   Digital High Pass Filter,200 Hz IIR,00188.381040,B5,203,0.62712,10,20.3,21.382469
   Temperature Set Point,37.0 Degrees C,00203.205920,B5,98,0.4868,10,9.8,11.779644
   Current Temperature,37.2 Degrees C,00224.531600,A3,60,0.61032,7,8.571429,12.771141
   Heater Power,On,00240.558160,B6,66,1.10208,8,8.25,9.065732
   Barcode Plate Type,TwentyFourWellCircuit,00246.718080,B5,164,0.96416,10,16.4,17.641994
   Plate Serial Number,66-1901,00247.361200,B3,72,0.6972,6,12,12.301762
   CO2 Conc. Set Point,5.0 %,00253.464400,C3,70,0.31896,7,10,7.445037
   Actual CO2 Conc.,4.6 %,00254.014240,D3,64,0.70632,8,8,7.017834
   Gas Mixer Status,Regulating,00295.116800,C3,76,0.23376,7,10.857143,7.395531
   AxIS Version,3.0.3.2,00296.333040,C3,136,1.57944,6,22.666667,14.114611
   Maestro Edge Firmware,3.0.3.2,00299.682000,A3,65,0.9644,6,10.833333,17.266699
   Maestro Edge BioCore Version,4B,00314.163200,C1,158,0.73144,11,14.363636,14.208017
,,00315.045280,C1,113,2.4748,8,14.125,11.027664
AxIS Playback,,00328.083120,B4,79,0.36312,8,9.875,11.207559
   AxIS Version,3.0.3.2,00329.489680,B4,54,0.35184,7,7.714286,8.206518
   File Name,2 h experimet.raw,00345.072640,C1,67,0.2976,8,8.375,5.935855
   Plate Type,BioCircuit MEA 24,00350.231200,C3,65,0.15184,6,10.833333,5.459446
   Requested File Section,0s to 1h59m0s,00361.297840,B5,299,1.55744,11,27.181818,30.839226
   Actual File Section Run,0s to 1h59m0s,00368.133520,C1,50,0.29912,7,7.142857,4.389226
   Recording Offset from File Start,0s,00372.294080,A3,63,0.8108,8,7.875,13.364482
,,00384.477840,C2,139,0.31184,12,11.583333,8.606764
Spike Detector Settings,,00385.637120,C2,141,0.40496,13,10.846154,9.387768
   Method,Adaptive Threshold Crossing,00388.476800,C2,51,0.38944,9,5.666667,6.716481
   Threshold,6,00394.832560,D5,157,0.42912,10,15.7,11.384639
