Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 baseline,00000.003280,D5,3488,3.36944,14,249.142857,208.285126
Description,baseline,00000.070880,C5,3231,3.39336,16,201.9375,159.648239
,,00000.000080,A6,5243,3.98824,16,327.6875,130.55397
Maestro Edge Settings,,00000.012960,D4,8743,4.01464,16,546.4375,382.977966
   Original File Time,08/25/2020 12:11:14,00000.004400,B4,12315,4.4876,16,769.6875,364.732391
   Sampling Frequency,12.5 kHz,00000.090960,C4,8471,4.37552,16,529.4375,333.115967
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.051760,A2,7967,4.73176,16,497.9375,380.039703
   Experiment Start Time,08/25/2020 12:11:14,00000.002320,A5,5361,4.92576,15,357.4,380.009766
   Referencing Method,Median,00000.000320,C6,4778,4.99456,16,298.625,199.64653
   Analog Mode Setting,Neural Spikes,00000.000880,D6,6177,4.93712,16,386.0625,149.347519
   Plate Type,BioCircuit MEA 24,00000.048240,A3,8017,5.1736,16,501.0625,220.64946
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.004080,C1,4956,5.24176,15,330.4,324.044403
   Digital High Pass Filter,200 Hz IIR,00000.047520,D3,6389,5.17264,16,399.3125,270.087891
   Temperature Set Point,37.0 Degrees C,00000.004000,B1,10408,5.47816,16,650.5,407.925995
   Current Temperature,37.0 Degrees C,00000.068400,B5,5280,5.42912,16,330,316.15799
   Heater Power,On,00000.000240,B2,5999,5.74928,16,374.9375,349.800385
   Barcode Plate Type,TwentyFourWellCircuit,00000.039440,A4,6496,5.95664,15,433.066667,310.184357
   Plate Serial Number,66-1901,00000.000240,D2,6395,5.98992,16,399.6875,279.395264
   CO2 Conc. Set Point,5.0 %,00000.045040,D1,8986,6.59584,16,561.625,457.108276
   Actual CO2 Conc.,5.3 %,00000.000240,C2,10578,6.86568,16,661.125,271.64566
   Gas Mixer Status,Regulating,00000.006640,A1,8264,7.45704,14,590.285714,618.848999
