Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
Recording Name,50k div20 cortex plate2 after infection overnight,00015.482080,D5,95,0.44432,8,11.875,9.778005
Description,after infection overnight,00019.132080,C1,96,0.2712,9,10.666667,9.510228
,,00034.867040,A2,77,0.55304,7,11,19.324301
Maestro Edge Settings,,00041.581440,B1,147,0.84064,10,14.7,19.000263
   Original File Time,08/26/2020 11:32:59,00048.747280,D2,78,1.12536,6,13,9.780933
   Sampling Frequency,12.5 kHz,00051.765360,C1,75,0.21424,8,9.375,6.537153
   Voltage Scale,-5.48486178148311E-08 V/sample,00054.183440,B5,55,0.25688,8,6.875,6.411659
   Experiment Start Time,08/25/2020 15:32:43,00063.545200,B5,374,1.70232,10,37.4,48.933014
   Referencing Method,Median,00066.362320,B5,296,1.55392,10,29.6,47.871078
   Analog Mode Setting,Neural Spikes,00068.736000,B5,114,0.62176,8,14.25,21.890352
   Plate Type,BioCircuit MEA 24,00073.543680,B5,55,0.36168,9,6.111111,9.097551
   Digital Low Pass Filter,3 kHz Kaiser Window,00079.886400,B5,53,0.35704,9,5.888889,7.936476
   Digital High Pass Filter,200 Hz IIR,00088.659920,A3,72,1.10736,8,9,19.319679
   Temperature Set Point,37.0 Degrees C,00092.964880,C1,92,0.244,10,9.2,7.304793
   Current Temperature,37.0 Degrees C,00101.808880,C2,63,0.27472,8,7.875,6.827106
   Heater Power,On,00121.850480,D5,138,0.39776,8,17.25,14.480591
   Barcode Plate Type,TwentyFourWellCircuit,00129.163840,B5,199,1.1452,9,22.111111,22.392679
   Plate Serial Number,66-1901,00135.973360,B4,61,0.48256,10,6.1,6.3
   CO2 Conc. Set Point,5.0 %,00136.521200,A1,111,2.17312,6,18.5,18.264263
   Actual CO2 Conc.,5.1 %,00157.787280,D3,55,0.73336,7,7.857143,7.845446
   Gas Mixer Status,Regulating,00174.393920,A2,78,0.75976,7,11.142857,18.44241
   AxIS Version,3.0.3.2,00175.855120,C1,69,0.20936,10,6.9,6.331666
   Maestro Edge Firmware,3.0.3.2,00174.384400,B6,118,2.48848,8,14.75,17.956545
   Maestro Edge BioCore Version,4B,00177.427920,B6,90,1.27232,7,12.857143,10.398194
,,00178.418960,C3,216,1.47632,8,27,19.183327
AxIS Batch Process,,00181.878240,C1,118,0.36752,9,13.111111,11.209564
   AxIS Version,3.0.3.2,00181.714320,A3,82,1.4292,8,10.25,18.143524
   File Name,o.n experimet read 10.raw,00181.239200,C3,341,2.11512,7,48.714286,35.021275
   Plate Type,BioCircuit MEA 24,00189.261760,B5,53,0.24568,9,5.888889,5.665577
   Requested File Section,0s to 10m0s,00190.436800,A2,61,0.71224,9,6.777778,11.573704
   Actual File Section Run,0s to 10m0s,00204.781840,B3,68,0.72528,6,11.333333,8.498365
   Recording Offset from File Start,0s,00212.160960,C2,51,0.41472,7,7.285714,9.406901
,,00218.162320,C3,61,0.24136,7,8.714286,7.145714
Spike Detector Settings,,00234.289680,A2,57,0.83544,6,9.5,14.580237
   Method,Adaptive Threshold Crossing,00233.445760,B5,357,1.512,10,35.7,43.132473
   Threshold,6,00241.840640,B5,113,0.46256,9,12.555556,13.158108
   Threshold Status,Variable,00242.316800,B1,160,1.41568,9,17.777778,26.773859
   Threshold Crossing Only,True,00254.951520,C3,53,0.1988,7,7.571429,5.576921
   Pre-Spike Duration,0.84 ms,00278.825360,A3,81,1.44144,7,11.571429,21.259333
   Post-Spike Duration,2.16 ms,00287.204320,B4,50,0.31016,9,5.555556,5.539978
   Coincident Event Filter,Default (Well),00290.781120,B6,54,1.00328,8,6.75,7.258615
   Coincidence Occurrence Threshold,4 Electrodes,00311.166960,D5,119,0.40856,8,14.875,10.576359
   Coincidence Event Window,160 µs,00311.396960,C3,92,0.38424,6,15.333333,8.055364
   Allow Sample Overlap,false,00312.412560,C3,59,0.70448,7,8.428571,8.261047
   Spike Count Interval,1 s,00318.354160,B5,476,1.96776,10,47.6,70.14727
,,00329.751840,D2,62,0.58944,6,10.333333,9.445751
Burst Detector Settings,,00331.200880,B1,177,1.05984,10,17.7,34.220024
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00334.067520,C1,52,0.28944,8,6.5,5.049752
   Maximum Inter-Spike Interval,100 ms,00339.815920,A2,90,1.15856,6,15,26.463812
   Minimum Number of Spikes,5,00345.931920,B3,150,1.53576,6,25,27.958302
   Enable Network Burst Detection,True,00348.723680,D5,87,0.52096,10,8.7,9.798469
   Maximum Inter-Spike Interval (network bursts),100 ms,00354.422480,B5,163,1.10456,10,16.3,16.322071
   Minimum Number of Spikes (network bursts),50,00357.154080,D5,60,0.16752,9,6.666667,5.925463
   Minimum Participating Electrodes (%),35,00389.123360,B5,64,0.23568,9,7.111111,7.415366
   Synchrony Window,20 ms,00395.842320,B4,57,0.40504,6,9.5,7.455423
,,00400.188240,D5,120,0.36296,7,17.142857,11.050902
,,00402.158240,D2,63,0.89864,6,10.5,9.75961
,,00405.340560,B5,66,0.19808,10,6.6,6.167657
,,00422.588800,A2,63,0.54768,7,9,10.849622
,,00421.354160,B6,105,2.3016,7,15,17.647339
,,00425.169280,B6,86,1.256,7,12.285714,8.939708
,,00433.419680,C3,215,1.30248,8,26.875,18.13448
,,00435.214400,C3,178,0.7424,7,25.428571,19.301052
,,00455.367360,D5,86,0.408,10,8.6,7.889233
,,00461.779360,B3,90,1.03712,7,12.857143,16.762445
,,00471.094960,B1,184,1.07072,10,18.4,30.073908
,,00472.776800,A2,57,0.92832,7,8.142857,15.477436
,,00476.656160,C3,69,0.21904,7,9.857143,7.199773
,,00485.055360,B5,319,1.65096,10,31.9,36.170292
,,00485.568720,D2,119,1.09136,6,19.833333,16.118484
,,00487.156880,B5,241,1.08672,10,24.1,35.297169
,,00488.556960,B5,77,0.78504,7,11,18.905781
,,00493.249600,C1,118,0.27912,8,14.75,11.177545
,,00497.130320,B5,55,0.34976,8,6.875,8.908388
,,00499.218800,A2,58,1.09304,6,9.666667,15.818414
,,00505.152080,B1,143,0.61232,11,13,16.922283
,,00507.309120,B5,57,0.24056,10,5.7,7.925276
,,00510.046960,C1,81,0.19688,8,10.125,8.192031
,,00511.777600,C3,57,0.29416,6,9.5,6.075909
,,00521.155120,B1,120,0.65264,10,12,16.260382
,,00531.340960,B3,106,1.03272,7,15.142857,19.881281
,,00543.656640,D5,95,0.72296,9,10.555556,11.20626
,,00546.177280,B1,112,0.6876,10,11.2,15.124814
,,00554.649600,B5,180,1.07504,10,18,19.55505
,,00556.101040,B5,72,0.56856,10,7.2,8.942036
,,00557.585600,B1,85,0.32416,6,14.166667,15.847362
,,00561.359680,A2,51,0.3588,8,6.375,7.614747
,,00573.236400,B1,88,0.30976,8,11,11.090536
,,00574.415600,C1,130,0.46544,8,16.25,11.442793
,,00576.067520,B4,51,0.36216,6,8.5,8.5
,,00583.433920,C3,82,0.2436,8,10.25,7.562242

Well Information
Well,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
Active,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Well Coloring,#FFAF64,#FFAF64,#FFAF64,#00FF00,#00FF00,#00FF00,#FF96CA,#FF96CA,#FF96CA,#FFAF64,#FFAF64,#FFAF64,#FF9696,#FF9696,#FF9696,#FF00FF,#FF00FF,#FF00FF,#FF7474,#FF7474,#FF7474,#8F26FF,#8F26FF,#8F26FF
Control,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Treatment,comtrol,comtrol,comtrol,PSD95 EGFP,PSD95 EGFP,PSD95 EGFP,control + DM,control + DM,control + DM,control ,control ,control ,AB 42 + DM,AB 42 + DM,AB 42 + DM,SEP GLUA1,SEP GLUA1,SEP GLUA1,AB 42 ,AB 42 ,AB 42 ,EGFP,EGFP,EGFP
Concentration,,,,5 UL,5 UL,5 UL,,,,,,,,,,5 Ul,5 Ul,5 Ul,,,,5 UL,5 UL,5 UL
Additional Information,control,control,control,,,,ofek,ofek,ofek,,,,Ofek,Ofek,Ofek,,,,Ofek,Ofek,Ofek,,,
