Investigator,Or,Time (s),Electrode,Amplitude (mV)
Recording Name,6.2.2020-roman plate,00000.086080,B2_21,0.043
Description,,00000.086720,C1_31,0.032
,,00000.106400,A1_23,0.031
Maestro Edge Settings,,00000.139280,B5_24,0.033
   Original File Time,02/06/2020 18:44:31,00000.163360,B1_23,0.102
   Sampling Frequency,12.5 kHz,00000.174800,B5_31,0.095
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.178400,B2_24,0.03
   Experiment Start Time,02/06/2020 18:37:41,00000.180800,A1_12,0.031
   Referencing Method,Median,00000.183440,A1_23,0.065
   Analog Mode Setting,Neural Spikes,00000.185920,A3_31,0.02
   Plate Type,CytoView MEA 24,00000.191680,A1_24,0.033
   Digital Low Pass Filter,4 kHz Kaiser Window,00000.201360,C1_22,0.104
   Digital High Pass Filter,200 Hz IIR,00000.204720,C1_22,0.019
   Temperature Set Point,37.0 Degrees C,00000.210160,B1_13,0.038
   Current Temperature,37.0 Degrees C,00000.215600,B5_42,0.027
   Heater Power,On,00000.251120,A3_24,0.064
   Barcode Plate Type,TwentyFourWell,00000.253600,A3_24,0.058
   Plate Serial Number,600116A,00000.253920,B5_31,0.054
   CO2 Conc. Set Point,5.0 %,00000.256720,A3_24,0.021
   Actual CO2 Conc.,5.0 %,00000.260880,C1_31,0.032
   Gas Mixer Status,Regulating,00000.260960,A3_31,0.061
   AxIS Version,1.3.3.1,00000.264080,B5_24,0.064
   Maestro Edge Firmware,1.3.3.1,00000.277520,B2_21,0.039
,,00000.280640,A3_24,0.052
AxIS Playback,,00000.281200,B5_42,0.193
   AxIS Version,2.0.4.21,00000.284240,B5_42,0.021
   File Name,6.2.2020-roman plate(000).raw,00000.299680,B5_31,0.026
   Plate Type,CytoView MEA 24,00000.311840,A3_24,0.041
   Requested File Section,0s to 17m32s,00000.319760,B5_31,0.101
   Actual File Section Run,0s to 17m32s,00000.360480,B1_13,0.03
   Recording Offset from File Start,0s,00000.369280,B5_42,0.05
,,00000.395680,B5_42,0.067
Spike Detector Settings,,00000.396800,C1_31,0.032
   Method,Adaptive Threshold Crossing,00000.409920,B5_42,0.034
   Threshold,6,00000.413280,B5_42,0.144
   Threshold Status,Variable,00000.441920,B1_23,0.052
   Threshold Crossing Only,True,00000.464720,B2_21,0.044
   Pre-Spike Duration,0.84 ms,00000.481040,B5_32,0.136
   Post-Spike Duration,2.16 ms,00000.483280,B5_32,0.022
   Coincident Event Filter,Default (Well),00000.505360,B5_24,0.058
   Coincidence Occurrence Threshold,4 Electrodes,00000.517200,B5_24,0.05
   Coincidence Event Window,80 µs,00000.526000,C1_31,0.029
   Allow Sample Overlap,false,00000.534960,B4_23,0.027
   Spike Count Interval,1 s,00000.551360,B5_31,0.052
,,00000.552480,B2_24,0.047
,,00000.555760,B2_24,0.032
,,00000.563200,B2_24,0.138
,,00000.565600,B2_24,0.024
,,00000.602480,C1_31,0.031
,,00000.625360,C1_22,0.096
,,00000.626800,A3_24,0.06
,,00000.629760,A1_13,0.058
,,00000.642160,B2_24,0.038
,,00000.643600,A1_24,0.021
,,00000.655920,B2_24,0.029
,,00000.658720,B2_24,0.06
,,00000.659840,B4_23,0.024
,,00000.664240,B5_31,0.093
,,00000.664720,C1_31,0.028
,,00000.667680,B5_31,0.022
,,00000.688880,B2_24,0.183
,,00000.689440,B2_12,0.032
,,00000.692480,B2_24,0.069
,,00000.694240,A1_24,0.028
,,00000.694480,B2_21,0.047
,,00000.697040,B2_21,0.055
,,00000.698720,B2_12,0.048
,,00000.699680,B2_21,0.143
,,00000.700480,B2_31,0.049
,,00000.702400,B2_21,0.074
,,00000.702880,B2_31,0.063
,,00000.705040,B2_21,0.038
,,00000.705280,B2_31,0.024
,,00000.706000,B2_33,0.019
,,00000.712160,B2_31,0.073
,,00000.716080,B2_31,0.043
,,00000.718400,B2_24,0.032
,,00000.722720,B2_24,0.045
,,00000.726000,B5_24,0.03
,,00000.727280,B2_21,0.049
,,00000.729760,C1_31,0.026
,,00000.732880,B2_24,0.034
,,00000.739600,A3_24,0.039
,,00000.740160,B2_12,0.04
,,00000.741120,B2_31,0.038
,,00000.741200,B2_21,0.039
,,00000.743040,B2_12,0.033
,,00000.743920,A3_24,0.041
,,00000.744560,B2_31,0.083
,,00000.744560,C1_21,0.031
,,00000.744880,B2_21,0.027
,,00000.745040,B2_24,0.083
,,00000.748000,B2_24,0.029
,,00000.748560,B2_21,0.028
,,00000.759120,A3_31,0.022
,,00000.766400,B2_31,0.053
,,00000.768560,C1_31,0.025
,,00000.769360,A1_12,0.027
,,00000.772880,B2_31,0.036
,,00000.775200,B2_31,0.029
,,00000.777840,B2_24,0.086
,,00000.779600,B2_31,0.042
,,00000.781680,A1_23,0.083
,,00000.781760,B2_24,0.018
,,00000.783760,B2_12,0.037
,,00000.786160,B5_42,0.059
,,00000.796880,B2_21,0.046
,,00000.804080,B5_24,0.07
,,00000.834640,B5_33,0.025
,,00000.836720,B2_31,0.055
,,00000.843600,B1_23,0.101
,,00000.846160,B2_31,0.04
,,00000.846640,B1_23,0.019
,,00000.858880,A3_31,0.05
,,00000.860240,B2_31,0.037
,,00000.876400,B5_42,0.031
,,00000.877120,B2_31,0.039
,,00000.883360,B5_42,0.036
,,00000.889200,B2_21,0.037
,,00000.916000,A1_12,0.029
,,00000.957840,B5_31,0.095
,,00000.966880,B5_42,0.067
,,00000.970800,A1_24,0.031
,,00000.977360,C1_31,0.034
,,00000.984160,B5_21,0.053
,,00000.990480,B5_32,0.024
,,00000.990960,B5_22,0.052
,,00000.998800,B5_32,0.148
,,00000.999600,B5_33,0.025
,,00001.000320,B5_14,0.022
,,00001.001200,B5_32,0.013
,,00001.001280,B5_42,0.064
,,00001.002240,B2_24,0.026
,,00001.006480,B5_31,0.035
,,00001.007120,B5_33,0.042
,,00001.009200,B4_23,0.032
,,00001.039440,B5_42,0.062
,,00001.084960,B5_42,0.067
,,00001.105200,B4_23,0.029
,,00001.125200,C1_22,0.089
,,00001.129520,C1_31,0.029
,,00001.130480,A3_41,0.016
,,00001.148640,A3_24,0.049
,,00001.173120,A3_24,0.057
,,00001.175840,A3_24,0.027
,,00001.189360,B5_24,0.065
,,00001.211600,B5_24,0.058
,,00001.216800,B2_21,0.04
,,00001.219760,B2_21,0.011
,,00001.242240,A3_24,0.05
,,00001.247120,A3_31,0.069
,,00001.249280,A3_24,0.05
,,00001.268560,C1_31,0.032
,,00001.282160,A4_32,0.04
,,00001.297760,A1_12,0.029
,,00001.308960,B5_31,0.094
,,00001.312000,B5_31,0.023
,,00001.318640,B1_23,0.095
,,00001.321840,B1_23,0.018
,,00001.325040,B2_12,0.247
,,00001.341680,B2_12,0.03
,,00001.345440,B2_24,0.09
,,00001.357520,A1_24,0.025
,,00001.360480,A1_24,0.025
,,00001.391120,C1_22,0.088
,,00001.437520,B5_24,0.07
,,00001.455600,C1_31,0.034
,,00001.457440,A3_31,0.03
,,00001.463040,B5_31,0.099
,,00001.476800,B5_24,0.065
,,00001.482880,B5_42,0.154
,,00001.494000,A3_24,0.076
,,00001.516960,B1_13,0.041
,,00001.520560,A1_12,0.028
,,00001.540320,B2_12,0.039
,,00001.548640,B2_21,0.025
,,00001.582640,A3_24,0.053
,,00001.604400,B5_24,0.032
,,00001.608000,A3_24,0.05
,,00001.642400,C1_31,0.03
,,00001.688240,B5_42,0.028
,,00001.697440,A1_12,0.025
,,00001.729520,B5_24,0.071
,,00001.733280,B1_23,0.094
,,00001.759440,A3_31,0.05
,,00001.761600,B5_31,0.097
,,00001.802880,B2_21,0.047
,,00001.812720,B2_21,0.035
,,00001.823040,C1_31,0.029
,,00001.842320,B2_21,0.046
,,00001.845120,B2_21,0.016
,,00001.853520,B4_23,0.029
,,00001.857760,A3_24,0.084
,,00001.862400,A3_24,0.04
,,00001.865040,A3_24,0.059
,,00001.867760,A3_24,0.02
,,00001.877440,B1_13,0.036
,,00001.878480,B4_23,0.054
,,00001.878640,B5_43,0.079
,,00001.892320,B5_43,0.069
,,00001.903840,B2_31,0.051
,,00001.909920,B5_43,0.046
,,00001.912400,B5_31,0.038
,,00001.913120,B2_31,0.038
,,00001.913120,B5_42,0.066
,,00001.919680,A3_24,0.068
,,00001.933760,A3_31,0.024
,,00001.938560,B5_31,0.046
,,00001.957440,A3_24,0.054
,,00001.963040,B5_42,0.025
,,00001.966080,B5_24,0.067
,,00001.971440,C1_22,0.089
,,00001.977520,B5_24,0.048
,,00001.985120,A3_24,0.063
,,00002.020240,B5_31,0.099
,,00002.021920,A3_24,0.034
,,00002.031680,C1_31,0.029
,,00002.031760,A1_24,0.025
,,00002.046320,A3_31,0.068
,,00002.053840,A1_23,0.09
,,00002.103760,B5_22,0.055
,,00002.152400,B4_23,0.054
,,00002.159600,B4_23,0.034
,,00002.173200,B2_21,0.037
,,00002.205520,A3_31,0.049
,,00002.205520,C1_31,0.03
,,00002.219440,B2_41,0.023
,,00002.250320,A3_24,0.064
,,00002.251840,A1_13,0.052
,,00002.272960,B5_24,0.067
,,00002.275280,B5_31,0.102
,,00002.278000,B5_31,0.022
,,00002.283360,B5_24,0.061
,,00002.294560,A3_24,0.046
,,00002.303120,B5_42,0.223
,,00002.306240,B5_42,0.022
,,00002.348320,B1_13,0.041
,,00002.356240,C1_31,0.032
,,00002.391280,A3_41,0.02
,,00002.392160,A1_24,0.033
,,00002.392560,A1_23,0.028
,,00002.395120,B2_24,0.032
,,00002.402400,B1_23,0.061
,,00002.407440,A3_31,0.047
,,00002.414080,B2_21,0.035
,,00002.446720,B4_31,0.048
,,00002.472080,A3_24,0.055
,,00002.475760,A1_12,0.028
,,00002.488960,A3_24,0.026
,,00002.492400,A3_24,0.049
,,00002.498000,A3_24,0.034
,,00002.500080,A3_42,0.027
,,00002.501840,B5_31,0.095
,,00002.503600,A3_41,0.035
,,00002.506400,A3_41,0.018
,,00002.513520,B2_24,0.04
,,00002.515040,C1_11,0.029
,,00002.515360,C1_31,0.028
,,00002.516640,B2_24,0.049
,,00002.532640,A3_24,0.035
,,00002.544160,A3_42,0.029
,,00002.548320,A3_42,0.02
,,00002.551040,A3_24,0.037
,,00002.567520,B5_33,0.025
,,00002.568960,A3_31,0.111
,,00002.575840,A3_42,0.023
,,00002.592880,B5_24,0.069
,,00002.599120,A3_31,0.044
,,00002.611120,B2_21,0.042
,,00002.615600,A3_42,0.033
,,00002.620240,A3_42,0.032
,,00002.623120,A3_24,0.052
,,00002.625840,A3_24,0.074
,,00002.628720,A3_24,0.024
,,00002.636880,A3_31,0.071
,,00002.639200,A3_31,0.015
,,00002.656080,C1_31,0.025
,,00002.658320,A3_42,0.028
,,00002.683280,C1_22,0.096
,,00002.696880,B5_42,0.071
,,00002.702800,C1_31,0.029
,,00002.705680,B5_31,0.098
,,00002.743280,B5_24,0.07
,,00002.751760,A1_24,0.024
,,00002.752640,B5_24,0.051
,,00002.778080,B2_24,0.04
,,00002.778480,B1_23,0.053
,,00002.779360,B5_42,0.045
,,00002.785600,B5_42,0.064
,,00002.788240,B5_42,0.146
,,00002.792400,C1_22,0.083
,,00002.794080,B2_21,0.042
,,00002.795600,C1_22,0.017
,,00002.795760,A1_24,0.091
,,00002.806000,A1_23,0.057
,,00002.812640,B2_12,0.236
,,00002.815600,B2_12,0.028
,,00002.830080,B5_31,0.098
,,00002.832320,B5_31,0.017
,,00002.855440,B2_21,0.039
,,00002.858880,A1_23,0.048
,,00002.872560,C1_31,0.031
,,00002.878720,A1_12,0.025
,,00002.884640,A3_24,0.063
,,00002.895600,B2_24,0.067
,,00002.899040,B2_24,0.038
,,00002.914560,B2_24,0.083
,,00002.919440,B1_13,0.039
,,00002.922160,B5_42,0.032
,,00002.930480,A4_32,0.04
,,00002.931680,B5_42,0.144
,,00002.979840,B5_24,0.058
,,00002.992080,B5_24,0.053
,,00002.995280,B2_31,0.037
,,00003.001200,C1_31,0.031
,,00003.002800,B2_31,0.111
,,00003.005440,B2_31,0.017
,,00003.026720,C1_43,0.021
,,00003.028720,A3_31,0.048
,,00003.038400,B2_31,0.04
,,00003.041520,B2_21,0.023
,,00003.056400,C1_31,0.03
,,00003.070320,A3_24,0.06
,,00003.082080,B5_42,0.066
,,00003.082960,B2_24,0.037
,,00003.097600,B5_31,0.094
,,00003.098320,B2_21,0.04
,,00003.118720,B2_24,0.063
,,00003.122640,B2_24,0.114
,,00003.125120,B2_24,0.08
,,00003.130000,B2_33,0.025
,,00003.130480,B2_24,0.047
,,00003.137040,B2_12,0.029
,,00003.137920,B5_22,0.053
,,00003.138800,B2_31,0.117
,,00003.141600,B2_21,0.045
,,00003.144800,B2_31,0.038
,,00003.152000,B2_21,0.029
,,00003.164640,B2_31,0.055
,,00003.168400,B2_21,0.025
,,00003.177200,A3_24,0.047
,,00003.193680,C1_31,0.029
,,00003.196000,B2_31,0.039
,,00003.220240,B5_31,0.035
,,00003.225520,C1_22,0.086
,,00003.238400,B5_42,0.07
,,00003.247360,A1_24,0.05
,,00003.249920,A1_24,0.18
,,00003.250880,A1_14,0.043
,,00003.252240,A1_24,0.028
,,00003.252960,A1_23,0.042
,,00003.253680,A3_31,0.047
,,00003.255040,A1_24,0.043
,,00003.255760,A1_23,0.044
,,00003.258560,A1_24,0.027
,,00003.260960,B2_21,0.033
,,00003.296560,B5_24,0.065
,,00003.341680,A3_24,0.057
,,00003.365280,A3_24,0.054
,,00003.367360,C1_31,0.029
,,00003.368480,A3_24,0.026
,,00003.406320,C1_31,0.032
,,00003.427520,A3_24,0.042
,,00003.439360,B5_24,0.072
,,00003.439680,C1_21,0.032
,,00003.443760,B5_42,0.153
,,00003.446800,B5_42,0.021
,,00003.447920,B5_32,0.036
,,00003.458960,C1_31,0.026
,,00003.496960,B5_31,0.097
,,00003.499600,B5_31,0.014
,,00003.500320,B5_42,0.067
,,00003.504560,A3_31,0.045
,,00003.523600,B2_21,0.033
,,00003.527760,B1_13,0.036
,,00003.549440,B2_21,0.047
,,00003.557120,A3_24,0.048
,,00003.565120,C1_31,0.031
,,00003.570640,B2_21,0.033
,,00003.594640,B1_23,0.021
,,00003.662240,B5_42,0.032
,,00003.698400,B5_33,0.051
,,00003.704160,B5_33,0.045
,,00003.707760,B5_33,0.036
,,00003.711360,B5_42,0.055
,,00003.718720,B4_31,0.047
,,00003.736080,B5_42,0.07
,,00003.738080,C1_31,0.029
,,00003.744400,B5_32,0.025
,,00003.744480,B5_22,0.044
,,00003.745680,A1_24,0.03
,,00003.768640,B5_42,0.152
