Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
Recording Name,50k div20 cortex plate2 after infection overnight,00000.044480,B3_22,0.124
Description,after infection overnight,00000.044480,B3_32,0.043
,,00000.049360,B3_22,0.113
Maestro Edge Settings,,00000.050240,B3_42,0.06
   Original File Time,08/26/2020 07:32:59,00000.056400,B3_22,0.12
   Sampling Frequency,12.5 kHz,00000.056560,B3_42,0.053
   Voltage Scale,-5.48486178148311E-08 V/sample,00000.064000,B3_22,0.108
   Experiment Start Time,08/25/2020 15:32:43,00000.066800,B3_22,0.033
   Referencing Method,Median,00000.079440,B3_22,0.102
   Analog Mode Setting,Neural Spikes,00000.119120,D3_24,0.059
   Plate Type,BioCircuit MEA 24,00000.119920,B3_42,0.051
   Digital Low Pass Filter,3 kHz Kaiser Window,00000.130800,B3_22,0.141
   Digital High Pass Filter,200 Hz IIR,00000.134400,D3_24,0.046
   Temperature Set Point,37.0 Degrees C,00000.141120,B3_42,0.04
   Current Temperature,37.0 Degrees C,00000.148160,B3_22,0.099
   Heater Power,On,00000.246720,B3_22,0.13
   Barcode Plate Type,TwentyFourWellCircuit,00000.308160,A2_44,0.058
   Plate Serial Number,66-1901,00000.352160,C3_22,0.275
   CO2 Conc. Set Point,5.0 %,00000.354480,C3_22,0.032
   Actual CO2 Conc.,5.0 %,00000.444560,D1_12,0.03
   Gas Mixer Status,Regulating,00000.497520,B2_32,0.031
   AxIS Version,3.0.3.2,00000.501920,A1_43,0.056
   Maestro Edge Firmware,3.0.3.2,00000.826560,A5_13,0.071
   Maestro Edge BioCore Version,4B,00000.914960,A2_44,0.063
,,00000.922880,C3_22,0.278
AxIS Batch Process,,00000.925360,C3_22,0.029
   AxIS Version,3.0.3.2,00000.935440,A5_13,0.08
   File Name,o.n experimet read 8.raw,00000.946880,B6_23,0.052
   Plate Type,BioCircuit MEA 24,00001.047920,C3_22,0.249
   Requested File Section,0s to 10m0s,00001.050320,C3_22,0.036
   Actual File Section Run,0s to 10m0s,00001.154560,B3_44,0.058
   Recording Offset from File Start,0s,00001.160240,C3_22,0.232
,,00001.162960,C3_22,0.036
Spike Detector Settings,,00001.177920,A1_22,0.06
   Method,Adaptive Threshold Crossing,00001.203200,B3_42,0.034
   Threshold,6,00001.361440,A2_44,0.058
   Threshold Status,Variable,00001.391440,B6_23,0.051
   Threshold Crossing Only,True,00001.451040,C4_23,0.04
   Pre-Spike Duration,0.84 ms,00001.472640,C4_34,0.042
   Post-Spike Duration,2.16 ms,00001.485040,C3_22,0.251
   Coincident Event Filter,Default (Well),00001.487360,C3_22,0.027
   Coincidence Occurrence Threshold,4 Electrodes,00001.501440,B2_32,0.04
   Coincidence Event Window,160 µs,00001.502240,A1_12,0.026
   Allow Sample Overlap,false,00001.628640,A1_43,0.053
   Spike Count Interval,1 s,00001.753520,C4_34,0.038
,,00001.779040,C3_22,0.242
