Investigator,Yossi,Time (s),Electrode,Amplitude (mV),,
Recording Name,50k div1 6 well,77.24264,B2_27,0.01,,
Description,,305.54632,B2_68,0.008,,
Maestro Edge Settings,,452.66848,B3_54,0.008,,
   Original File Time,08/06/2020 12:02,601.79576,B1_62,0.124,,
   Sampling Frequency,12.5 kHz,601.79632,A1_72,0.012,,
   Voltage Scale,-5.48486178148311E-08 V/sample,601.79632,A3_73,0.011,,
   Experiment Start Time,08/06/2020 12:02,601.79632,B3_86,0.011,,
   Referencing Method,Median,601.79672,B3_48,0.01,,
   Analog Mode Setting,Neural Spikes,601.79688,A1_88,0.01,,
   Plate Type,CytoView MEA 6,601.79688,A2_81,0.044,,
   Digital Low Pass Filter,3 kHz Kaiser Window,601.79688,A3_81,0.093,,
   Digital High Pass Filter,200 Hz IIR,601.79696,B1_61,0.008,,
   Temperature Set Point,37.0 Degrees C,601.79696,B3_87,0.013,,
   Current Temperature,37.0 Degrees C,601.79704,A3_21,0.01,,
   Heater Power,On,601.79712,A2_23,0.009,,
   Barcode Plate Type,SixWell,601.79712,A2_31,0.011,,
   Plate Serial Number,80-6810,601.79712,A3_58,0.009,,
   CO2 Conc. Set Point,5.00%,601.79736,A3_68,0.008,,
   Actual CO2 Conc.,4.50%,601.79824,B2_81,0.015,,
   Gas Mixer Status,Regulating,601.79832,B1_81,0.006,,
   AxIS Version,3.0.3.2,601.7984,A3_27,0.012,,
   Maestro Edge Firmware,3.0.3.2,601.7984,B3_28,0.009,,
   Maestro Edge BioCore Version,4B,601.79848,B3_81,0.004,,
,,601.79912,B1_62,0.018,,
Spike Detector Settings,,601.79928,B1_84,0.01,,
   Method,Adaptive Threshold Crossing,601.79928,B2_28,0.01,,
   Threshold,6,601.79944,B1_43,0.009,,
   Threshold Status,Variable,601.79992,A1_65,0.009,,
   Threshold Crossing Only,TRUE,601.79992,B1_22,0.014,,
   Pre-Spike Duration,0.84 ms,601.79992,B1_87,0.01,,
   Post-Spike Duration,2.16 ms,601.80032,B3_32,0.011,,
   Coincident Event Filter,Well,601.8004,A3_85,0.009,,
   Coincidence Occurrence Threshold,5 Electrodes,601.8004,B1_36,0.012,,
   Coincidence Event Window,240 µs,601.80056,A3_35,0.01,,
   Allow Sample Overlap,FALSE,601.80376,A3_66,0.011,,
   Spike Count Interval,1 s,601.80448,A2_76,0.013,,
,,601.80448,B2_86,0.011,,
   Requested File Section,0s to 56m11s,601.80456,B2_34,0.011,,
   Actual File Section Run,0s to 56m11s,601.80552,A2_38,0.011,,
,,601.80928,A2_46,0.004,,
,,601.80928,A2_57,0.016,,
,,601.80936,A2_88,0.015,,
,,601.80936,A3_86,0.018,,
,,601.80936,B2_53,0.01,,
,,601.80936,B2_65,0.025,,
,,601.80944,A3_11,0.013,,
,,601.80944,A3_47,0.016,,
,,601.80944,A3_78,0.018,,
,,601.8096,B2_76,0.009,,
,,601.80968,B2_25,0.008,,
,,601.80968,B3_18,0.012,,
,,601.80976,B2_38,0.017,,
,,601.80976,B2_62,0.007,,
,,601.80984,A3_52,0.014,,
,,601.80984,B2_37,0.011,,
,,601.80984,B3_46,0.011,,
,,601.80984,B3_66,0.006,,
,,601.80992,B1_51,0.01,,
,,601.81,A1_15,0.01,,
,,601.81,A1_73,0.008,,
,,601.81,B1_11,0.008,,
,,601.81016,A1_85,0.012,,
,,601.81016,B3_24,0.01,,
,,601.81024,A1_55,0.012,,
,,601.81024,A2_55,0.013,,
,,601.81024,A2_85,0.01,,
,,601.81024,B3_68,0.011,,
,,601.81032,A1_36,0.007,,
,,601.81032,A1_45,0.01,,
,,601.81032,B1_41,0.008,,
,,601.8104,A1_12,0.008,,
,,601.8104,A2_64,0.008,,
,,601.81048,A2_42,0.01,,
,,601.81064,B2_73,0.012,,
,,601.81072,B3_21,0.011,,
,,601.81088,A1_62,0.008,,
,,601.81104,A3_41,0.01,,
,,601.81112,A2_38,0.009,,
,,601.81112,A2_63,0.011,,
,,601.81136,B1_83,0.009,,
,,601.81144,A2_45,0.012,,
,,601.81152,B3_52,0.009,,
,,601.8116,A3_77,0.007,,
,,601.8116,B3_25,0.003,,
,,601.81168,A1_71,0.011,,
,,601.81176,A2_22,0.013,,
,,601.81176,A3_78,0.006,,
,,601.81184,A2_58,0.012,,
,,601.81192,A1_82,0.015,,
,,601.81192,A3_11,0.01,,
,,601.81192,A3_25,0.009,,
,,601.812,A3_35,0.007,,
,,601.81208,A3_28,0.006,,
,,601.81208,B3_16,0.009,,
,,601.81208,B3_34,0.009,,
,,601.81216,A3_47,0.005,,
